2026-01-14 19:42:48,400 | INFO | __main__ | Loading ML model...
2026-01-16 19:41:43,824 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:43:40,354 | INFO | __main__ | Loading ML model...
2026-01-16 19:43:40,410 | INFO | __main__ | ML model loaded successfully
2026-01-16 19:43:43,110 | INFO | __main__ | Prediction -> Grade: C, Confidence: 49.50%
2026-01-16 19:43:43,111 | WARNING | __main__ | Low confidence prediction detected
2026-01-16 19:43:43,111 | INFO | __main__ | Final Output -> {'error': False, 'predicted_grade': 'C', 'confidence': 49.5, 'is_confident': False}
2026-01-16 19:45:28,108 | INFO | main | Loading ML model...
2026-01-16 19:45:28,163 | INFO | main | ML model loaded successfully
2026-01-16 19:45:28,163 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:45:31,716 | INFO | main | Loading ML model...
2026-01-16 19:45:31,774 | INFO | main | ML model loaded successfully
2026-01-16 19:45:31,775 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:46:45,648 | INFO | main | Loading ML model...
2026-01-16 19:46:45,703 | INFO | main | ML model loaded successfully
2026-01-16 19:46:45,703 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:46:49,138 | INFO | main | Loading ML model...
2026-01-16 19:46:49,192 | INFO | main | ML model loaded successfully
2026-01-16 19:46:49,192 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:47:52,931 | INFO | main | Loading ML model...
2026-01-16 19:47:52,991 | INFO | main | ML model loaded successfully
2026-01-16 19:47:52,992 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:48:15,468 | INFO | main | Loading ML model...
2026-01-16 19:48:15,526 | INFO | main | ML model loaded successfully
2026-01-16 19:48:15,526 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:48:19,015 | INFO | main | Loading ML model...
2026-01-16 19:48:19,075 | INFO | main | ML model loaded successfully
2026-01-16 19:48:19,076 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:49:52,906 | INFO | main | Loading ML model...
2026-01-16 19:49:52,962 | INFO | main | ML model loaded successfully
2026-01-16 19:49:52,963 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:49:56,454 | INFO | main | Loading ML model...
2026-01-16 19:49:56,510 | INFO | main | ML model loaded successfully
2026-01-16 19:49:56,511 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:53:14,033 | INFO | main | Loading ML model...
2026-01-16 19:53:14,091 | INFO | main | ML model loaded successfully
2026-01-16 19:53:14,092 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:53:17,612 | INFO | main | Loading ML model...
2026-01-16 19:53:17,669 | INFO | main | ML model loaded successfully
2026-01-16 19:53:17,670 | INFO | FlaskApp | Starting Flask server...
2026-01-16 19:53:31,254 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 19:53:31,254 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:03:24,544 | INFO | main | Loading ML model...
2026-01-16 20:03:24,599 | INFO | main | ML model loaded successfully
2026-01-16 20:03:24,599 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:03:28,110 | INFO | main | Loading ML model...
2026-01-16 20:03:28,165 | INFO | main | ML model loaded successfully
2026-01-16 20:03:28,166 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:03:39,842 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:03:39,842 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:04:02,350 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:04:02,350 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:04:09,880 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:04:09,880 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:08:51,928 | INFO | main | Loading ML model...
2026-01-16 20:08:51,988 | INFO | main | ML model loaded successfully
2026-01-16 20:08:51,989 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:08:55,597 | INFO | main | Loading ML model...
2026-01-16 20:08:55,656 | INFO | main | ML model loaded successfully
2026-01-16 20:08:55,657 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:09:07,020 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:09:07,020 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:09:22,242 | INFO | main | Loading ML model...
2026-01-16 20:09:22,298 | INFO | main | ML model loaded successfully
2026-01-16 20:09:22,298 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:09:25,718 | INFO | main | Loading ML model...
2026-01-16 20:09:25,777 | INFO | main | ML model loaded successfully
2026-01-16 20:09:25,778 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:09:30,997 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:09:30,997 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:09:44,804 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:09:44,805 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:15:20,959 | INFO | main | Loading ML model...
2026-01-16 20:15:21,030 | INFO | main | ML model loaded successfully
2026-01-16 20:15:21,030 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:15:24,560 | INFO | main | Loading ML model...
2026-01-16 20:15:24,627 | INFO | main | ML model loaded successfully
2026-01-16 20:15:24,628 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:16:21,502 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:16:21,502 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:16:23,194 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:16:23,194 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:16:40,175 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:16:40,175 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:17:01,475 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:17:01,476 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:19:44,155 | INFO | main | Loading ML model...
2026-01-16 20:19:44,215 | INFO | main | ML model loaded successfully
2026-01-16 20:19:44,216 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:19:56,427 | INFO | main | Loading ML model...
2026-01-16 20:19:56,483 | INFO | main | ML model loaded successfully
2026-01-16 20:19:56,483 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:20:07,610 | INFO | main | Loading ML model...
2026-01-16 20:20:07,669 | INFO | main | ML model loaded successfully
2026-01-16 20:20:07,669 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:21:03,118 | INFO | main | Loading ML model...
2026-01-16 20:21:03,174 | INFO | main | ML model loaded successfully
2026-01-16 20:21:03,175 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:21:06,633 | INFO | main | Loading ML model...
2026-01-16 20:21:06,694 | INFO | main | ML model loaded successfully
2026-01-16 20:21:06,695 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:21:09,986 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:21:09,986 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:22:15,250 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:22:15,251 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:22:24,918 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:22:24,918 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:22:53,268 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:22:53,268 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:23:08,613 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:23:08,613 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:26:52,109 | INFO | main | Loading ML model...
2026-01-16 20:26:52,163 | INFO | main | ML model loaded successfully
2026-01-16 20:26:52,163 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:26:55,612 | INFO | main | Loading ML model...
2026-01-16 20:26:55,669 | INFO | main | ML model loaded successfully
2026-01-16 20:26:55,670 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:27:11,711 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:27:11,711 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:27:56,282 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:27:56,283 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:31:39,341 | INFO | main | Loading ML model...
2026-01-16 20:31:39,396 | INFO | main | ML model loaded successfully
2026-01-16 20:31:39,396 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:31:43,033 | INFO | main | Loading ML model...
2026-01-16 20:31:43,091 | INFO | main | ML model loaded successfully
2026-01-16 20:31:43,091 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:31:53,063 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:31:53,063 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:32:22,747 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:32:22,747 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:41:37,817 | INFO | main | Loading ML model...
2026-01-16 20:41:37,872 | INFO | main | ML model loaded successfully
2026-01-16 20:41:37,872 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:45:06,046 | INFO | main | Loading ML model...
2026-01-16 20:45:06,101 | INFO | main | ML model loaded successfully
2026-01-16 20:45:06,102 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:45:09,517 | INFO | main | Loading ML model...
2026-01-16 20:45:09,571 | INFO | main | ML model loaded successfully
2026-01-16 20:45:09,571 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:46:51,833 | INFO | main | Loading ML model...
2026-01-16 20:46:51,888 | INFO | main | ML model loaded successfully
2026-01-16 20:46:51,889 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:46:55,298 | INFO | main | Loading ML model...
2026-01-16 20:46:55,353 | INFO | main | ML model loaded successfully
2026-01-16 20:46:55,354 | INFO | FlaskApp | Starting Flask server...
2026-01-16 20:47:04,182 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:47:04,182 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:47:14,171 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:47:14,172 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-16 20:47:15,582 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-16 20:47:15,583 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-17 18:55:11,899 | INFO | main | Loading ML model...
2026-01-17 18:55:12,634 | INFO | main | ML model loaded successfully
2026-01-17 18:55:12,635 | INFO | FlaskApp | Starting Flask server...
2026-01-17 18:55:16,159 | INFO | main | Loading ML model...
2026-01-17 18:55:16,218 | INFO | main | ML model loaded successfully
2026-01-17 18:55:16,218 | INFO | FlaskApp | Starting Flask server...
2026-01-17 18:59:11,538 | INFO | main | Loading ML model...
2026-01-17 18:59:11,612 | INFO | main | ML model loaded successfully
2026-01-17 18:59:11,613 | INFO | FlaskApp | Starting Flask server...
2026-01-17 18:59:15,031 | INFO | main | Loading ML model...
2026-01-17 18:59:15,089 | INFO | main | ML model loaded successfully
2026-01-17 18:59:15,089 | INFO | FlaskApp | Starting Flask server...
2026-01-17 19:49:17,973 | INFO | main | Loading ML model...
2026-01-17 19:49:18,992 | INFO | main | ML model loaded successfully
2026-01-17 19:49:18,993 | INFO | FlaskApp | Starting Flask server...
2026-01-17 19:49:21,308 | INFO | main | Loading ML model...
2026-01-17 19:49:21,369 | INFO | main | ML model loaded successfully
2026-01-17 19:49:21,369 | INFO | FlaskApp | Starting Flask server...
2026-01-17 19:52:27,525 | INFO | main | Loading ML model...
2026-01-17 19:52:27,585 | INFO | main | ML model loaded successfully
2026-01-17 19:52:46,866 | INFO | __main__ | Loading ML model...
2026-01-17 19:52:46,921 | INFO | __main__ | ML model loaded successfully
2026-01-17 19:52:49,737 | INFO | __main__ | Prediction -> Grade: C, Confidence: 49.50%
2026-01-17 19:52:49,737 | WARNING | __main__ | Low confidence prediction detected
2026-01-17 19:52:49,737 | INFO | __main__ | Final Output -> {'error': False, 'predicted_grade': 'C', 'confidence': 49.5, 'is_confident': False}
2026-01-17 19:52:55,763 | INFO | main | Loading ML model...
2026-01-17 19:52:55,820 | INFO | main | ML model loaded successfully
2026-01-17 19:58:51,337 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-17 19:58:51,337 | INFO | main | Loading ML model...
2026-01-17 19:58:51,394 | INFO | main | ML model loaded successfully
2026-01-17 19:58:51,394 | INFO | FlaskApp | ML model loaded successfully
2026-01-17 19:58:51,394 | INFO | FlaskApp | Starting Flask server...
2026-01-17 19:58:53,730 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-17 19:58:53,730 | INFO | main | Loading ML model...
2026-01-17 19:58:53,786 | INFO | main | ML model loaded successfully
2026-01-17 19:58:53,787 | INFO | FlaskApp | ML model loaded successfully
2026-01-17 19:58:53,787 | INFO | FlaskApp | Starting Flask server...
2026-01-17 19:59:48,932 | INFO | main | Prediction -> Grade: A, Confidence: 83.00%
2026-01-17 19:59:48,932 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:00:09,647 | INFO | main | Prediction -> Grade: A, Confidence: 78.50%
2026-01-17 20:00:09,647 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:00:26,089 | INFO | main | Prediction -> Grade: C, Confidence: 54.50%
2026-01-17 20:00:26,089 | WARNING | main | Low confidence prediction detected
2026-01-17 20:00:26,089 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:00:39,419 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-17 20:00:39,419 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-17 20:01:53,460 | INFO | main | Prediction -> Grade: A, Confidence: 83.00%
2026-01-17 20:01:53,461 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:03:05,753 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-17 20:03:05,753 | INFO | main | Loading ML model...
2026-01-17 20:03:05,809 | INFO | main | ML model loaded successfully
2026-01-17 20:03:05,810 | INFO | FlaskApp | ML model loaded successfully
2026-01-17 20:03:05,810 | INFO | FlaskApp | Starting Flask server...
2026-01-17 20:03:08,586 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-17 20:03:08,588 | INFO | main | Loading ML model...
2026-01-17 20:03:08,642 | INFO | main | ML model loaded successfully
2026-01-17 20:03:08,642 | INFO | FlaskApp | ML model loaded successfully
2026-01-17 20:03:08,642 | INFO | FlaskApp | Starting Flask server...
2026-01-17 20:03:47,880 | INFO | main | Prediction -> Grade: A, Confidence: 83.00%
2026-01-17 20:03:47,881 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:04:01,979 | INFO | main | Prediction -> Grade: A, Confidence: 78.50%
2026-01-17 20:04:01,979 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:04:10,027 | INFO | main | Prediction -> Grade: C, Confidence: 54.50%
2026-01-17 20:04:10,027 | WARNING | main | Low confidence prediction detected
2026-01-17 20:04:10,028 | INFO | FlaskApp | Prediction served successfully via API
2026-01-17 20:04:19,334 | WARNING | main | Input validation failed: Text is too short for reliable analysis.
2026-01-17 20:04:19,335 | WARNING | FlaskApp | Prediction failed: Text is too short for reliable analysis.
2026-01-21 11:17:59,906 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:17:59,906 | INFO | main | Loading ML model...
2026-01-21 11:17:59,981 | INFO | main | ML model loaded successfully
2026-01-21 11:17:59,981 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:17:59,981 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:18:02,372 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:18:02,372 | INFO | main | Loading ML model...
2026-01-21 11:18:02,432 | INFO | main | ML model loaded successfully
2026-01-21 11:18:02,432 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:18:02,432 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:39:22,362 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:39:22,362 | INFO | main | Loading ML model...
2026-01-21 11:39:22,728 | INFO | main | ML model loaded successfully
2026-01-21 11:39:22,729 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:39:22,729 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:46:54,796 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:46:54,797 | INFO | main | Loading ML model...
2026-01-21 11:46:54,859 | INFO | main | ML model loaded successfully
2026-01-21 11:46:54,859 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:46:54,859 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:49:42,088 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:49:42,089 | INFO | main | Loading ML model...
2026-01-21 11:49:42,157 | INFO | main | ML model loaded successfully
2026-01-21 11:49:42,157 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:49:42,158 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:50:15,157 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:50:15,157 | INFO | main | Loading ML model...
2026-01-21 11:50:15,213 | INFO | main | ML model loaded successfully
2026-01-21 11:50:15,213 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:50:15,214 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:50:40,573 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:50:40,573 | INFO | main | Loading ML model...
2026-01-21 11:50:40,636 | INFO | main | ML model loaded successfully
2026-01-21 11:50:40,636 | INFO | FlaskApp | ML model loaded successfully
2026-01-21 11:50:40,637 | INFO | FlaskApp | Starting Flask server...
2026-01-21 11:50:43,087 | INFO | FlaskApp | Loading ML model at server startup...
2026-01-21 11:50:43,088 | INFO | main | Loading ML model...
2026-01-21 11:50:43,143 | INFO | main | ML model loaded successfully
